epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.082,1.38319,2.73269,1.47807,0.41135,0.40793,0.34799,0.15469,1.87691,2.85115,1.82199,0.00023654,0.00023654,0.00023654
2,90.8262,1.2915,1.90328,1.41921,0.54404,0.4841,0.46764,0.21067,1.86489,2.35205,1.78497,0.00045888,0.00045888,0.00045888
3,133.574,1.28034,1.71838,1.39312,0.58566,0.4153,0.47297,0.22209,1.89899,2.32183,1.79665,0.000665512,0.000665512,0.000665512
4,176.044,1.2387,1.62131,1.37298,0.59572,0.48247,0.50571,0.2286,1.86268,2.17087,1.78464,0.000643314,0.000643314,0.000643314
5,219.773,1.21644,1.52594,1.35239,0.70513,0.53041,0.57507,0.26058,1.83988,1.87195,1.77918,0.000619752,0.000619752,0.000619752
6,263.851,1.19503,1.44625,1.33334,0.73094,0.46806,0.55256,0.25979,1.78164,1.79884,1.74538,0.00059619,0.00059619,0.00059619
7,308.159,1.17171,1.39531,1.31589,0.688,0.55938,0.59325,0.26438,1.87682,1.74113,1.77958,0.000572628,0.000572628,0.000572628
8,353.655,1.16424,1.34816,1.30673,0.6813,0.58399,0.60838,0.28751,1.75746,1.60654,1.67343,0.000549066,0.000549066,0.000549066
9,397.129,1.13477,1.29548,1.28516,0.78141,0.5201,0.61819,0.30316,1.75255,1.51914,1.7057,0.000525504,0.000525504,0.000525504
10,440.389,1.13219,1.25451,1.27812,0.73754,0.5586,0.61362,0.28244,1.80291,1.56434,1.679,0.000501942,0.000501942,0.000501942
11,484.876,1.11962,1.22996,1.27117,0.75409,0.60568,0.65356,0.31486,1.70724,1.40547,1.66719,0.00047838,0.00047838,0.00047838
12,529.166,1.11159,1.19301,1.26295,0.82205,0.59085,0.67097,0.34558,1.65581,1.27349,1.60054,0.000454818,0.000454818,0.000454818
13,572.906,1.09416,1.16587,1.25364,0.77367,0.58242,0.65261,0.34395,1.6236,1.38814,1.60621,0.000431256,0.000431256,0.000431256
14,615.937,1.08812,1.14304,1.24764,0.73934,0.59128,0.64783,0.31962,1.69181,1.32684,1.65171,0.000407694,0.000407694,0.000407694
15,659.994,1.07012,1.12004,1.23638,0.81521,0.62017,0.67038,0.34339,1.66923,1.28459,1.64208,0.000384132,0.000384132,0.000384132
16,704.394,1.05488,1.07913,1.22675,0.76632,0.65257,0.68806,0.37308,1.62271,1.23485,1.59815,0.00036057,0.00036057,0.00036057
17,748.065,1.04334,1.06744,1.21539,0.78464,0.62621,0.69651,0.3661,1.60193,1.20093,1.58111,0.000337008,0.000337008,0.000337008
18,792.03,1.0398,1.0511,1.21006,0.81041,0.62984,0.70664,0.37821,1.57833,1.16196,1.55471,0.000313446,0.000313446,0.000313446
19,835.356,1.02351,1.02715,1.20411,0.84271,0.62907,0.70303,0.38434,1.54562,1.13467,1.53699,0.000289884,0.000289884,0.000289884
20,878.676,1.02346,1.01801,1.2004,0.83038,0.64981,0.7235,0.39933,1.54574,1.08538,1.51666,0.000266322,0.000266322,0.000266322
21,920.144,1.05474,0.95803,1.22272,0.83336,0.63617,0.7185,0.38579,1.54453,1.14685,1.52374,0.00024276,0.00024276,0.00024276
22,959.341,1.02209,0.90485,1.20064,0.85383,0.64107,0.72429,0.40187,1.49895,1.08739,1.47897,0.000219198,0.000219198,0.000219198
23,996.972,1.01583,0.88303,1.19238,0.82861,0.65982,0.73501,0.40498,1.5471,1.09397,1.50801,0.000195636,0.000195636,0.000195636
24,1034.93,0.99878,0.86197,1.18403,0.79963,0.66498,0.72599,0.40442,1.55441,1.06243,1.51377,0.000172074,0.000172074,0.000172074
25,1071.46,0.98355,0.84179,1.17208,0.83521,0.66258,0.7391,0.41627,1.5142,1.0391,1.48622,0.000148512,0.000148512,0.000148512
26,1109.51,0.9693,0.82162,1.16764,0.82662,0.66865,0.74166,0.42147,1.50463,1.02712,1.47699,0.00012495,0.00012495,0.00012495
27,1146.48,0.95875,0.80123,1.15387,0.88649,0.64735,0.74362,0.42954,1.45736,1.0211,1.45781,0.000101388,0.000101388,0.000101388
28,1185.32,0.9484,0.79375,1.15106,0.84021,0.683,0.74685,0.42506,1.50139,1.01457,1.47989,7.7826e-05,7.7826e-05,7.7826e-05
29,1221.63,0.94215,0.7848,1.14441,0.81915,0.6914,0.75124,0.43848,1.44899,0.9861,1.44383,5.4264e-05,5.4264e-05,5.4264e-05
30,1259.58,0.93019,0.7704,1.13637,0.8132,0.6988,0.7473,0.43321,1.46054,0.9871,1.44785,3.0702e-05,3.0702e-05,3.0702e-05
